"fipstate","naics","empflag","emp","qp1","ap","est","f1_4","e1_4","q1_4","a1_4","n1_4","f5_9","e5_9","q5_9","a5_9","n5_9","f10_19","e10_19","q10_19","a10_19","n10_19","f20_49","e20_49","q20_49","a20_49","n20_49","f50_99","e50_99","q50_99","a50_99","n50_99","f100_249","e100_249","q100_249","a100_249","n100_249","f250_499","e250_499","q250_499","a250_499","n250_499","f500_999","e500_999","q500_999","a500_999","n500_999","f1000","e1000","q1000","a1000","n1000","censtate"
"72","49311/",,1823,8796,38125,56,"D",0,0,0,17,,84,597,2564,13,,82,426,1831,7,"D",0,0,0,9,,442,2024,9000,6,,458,2376,9537,3,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,"06"
"72","493110",,1823,8796,38125,56,"D",0,0,0,17,,84,597,2564,13,,82,426,1831,7,"D",0,0,0,9,,442,2024,9000,6,,458,2376,9537,3,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,"06"
"72","49312/","C",0,0,0,13,,13,43,234,5,"D",0,0,0,4,"D",0,0,0,2,"D",0,0,0,1,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","493120","C",0,0,0,13,,13,43,234,5,"D",0,0,0,4,"D",0,0,0,2,"D",0,0,0,1,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","49313/","B",0,0,0,2,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,,0,0,0,0,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","493130","B",0,0,0,2,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,,0,0,0,0,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","49319/",,449,2536,12283,13,"D",0,0,0,3,"D",0,0,0,2,"D",0,0,0,3,"D",0,0,0,1,"D",0,0,0,3,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","493190",,449,2536,12283,13,"D",0,0,0,3,"D",0,0,0,2,"D",0,0,0,3,"D",0,0,0,1,"D",0,0,0,3,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","51----",,22137,184573,768337,592,,583,3765,20027,299,,617,4249,14911,92,,1127,6745,28224,83,,1889,11941,49637,61,,1880,11095,45304,27,,2377,20097,77624,14,,2817,19491,74458,9,,1765,15049,55768,3,,9082,92141,402384,4,"06"
"72","511///",,4405,42890,158820,94,"D",0,0,0,41,"D",0,0,0,20,"D",0,0,0,14,,233,1468,6251,8,"D",0,0,0,4,"D",0,0,0,2,"D",0,0,0,3,"D",0,0,0,1,"D",0,0,0,1,"06"
"72","5111//",,4287,41887,153766,87,"D",0,0,0,38,"D",0,0,0,18,"D",0,0,0,13,,233,1468,6251,8,"D",0,0,0,3,"D",0,0,0,2,"D",0,0,0,3,"D",0,0,0,1,"D",0,0,0,1,"06"
"72","51111/",,2983,31461,112129,27,,14,87,424,10,,16,97,411,3,,58,244,1017,5,"D",0,0,0,3,,0,0,0,0,"D",0,0,0,2,"D",0,0,0,3,,0,0,0,0,"D",0,0,0,1,"06"
"72","511110",,2983,31461,112129,27,,14,87,424,10,,16,97,411,3,,58,244,1017,5,"D",0,0,0,3,,0,0,0,0,"D",0,0,0,2,"D",0,0,0,3,,0,0,0,0,"D",0,0,0,1,"06"
"72","51112/","C",0,0,0,18,"D",0,0,0,7,"D",0,0,0,3,"D",0,0,0,4,"D",0,0,0,4,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","511120","C",0,0,0,18,"D",0,0,0,7,"D",0,0,0,3,"D",0,0,0,4,"D",0,0,0,4,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","51113/","F",0,0,0,15,"D",0,0,0,8,"D",0,0,0,3,"D",0,0,0,1,"D",0,0,0,1,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,"D",0,0,0,1,,0,0,0,0,"06"
"72","511130","F",0,0,0,15,"D",0,0,0,8,"D",0,0,0,3,"D",0,0,0,1,"D",0,0,0,1,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,"D",0,0,0,1,,0,0,0,0,"06"
"72","51114/","B",0,0,0,4,"D",0,0,0,2,,0,0,0,0,"D",0,0,0,1,,0,0,0,0,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","511140","B",0,0,0,4,"D",0,0,0,2,,0,0,0,0,"D",0,0,0,1,,0,0,0,0,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","51119/","C",0,0,0,23,"D",0,0,0,11,"D",0,0,0,9,"D",0,0,0,2,,0,0,0,0,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","511191","A",0,0,0,1,,0,0,0,0,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","511199","C",0,0,0,22,"D",0,0,0,11,"D",0,0,0,8,"D",0,0,0,2,,0,0,0,0,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","5112//",,118,1003,5054,7,,6,20,37,3,"D",0,0,0,2,"D",0,0,0,1,,0,0,0,0,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","51121/",,118,1003,5054,7,,6,20,37,3,"D",0,0,0,2,"D",0,0,0,1,,0,0,0,0,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","511210",,118,1003,5054,7,,6,20,37,3,"D",0,0,0,2,"D",0,0,0,1,,0,0,0,0,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","512///",,2046,7676,33303,138,,154,893,6594,83,"D",0,0,0,19,,176,723,3140,13,"D",0,0,0,11,,640,1092,4906,9,"D",0,0,0,3,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","5121//",,1966,7150,31026,118,,134,791,5909,70,"D",0,0,0,14,"D",0,0,0,11,"D",0,0,0,11,,640,1092,4906,9,"D",0,0,0,3,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","51211/",,172,1140,5951,41,,54,420,3138,29,"D",0,0,0,8,"D",0,0,0,3,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","512110",,172,1140,5951,41,,54,420,3138,29,"D",0,0,0,8,"D",0,0,0,3,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","51212/",,9,126,464,3,,9,126,464,3,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","512120",,9,126,464,3,,9,126,464,3,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","51213/",,1745,5545,23078,66,,59,89,1589,33,"D",0,0,0,5,"D",0,0,0,6,"D",0,0,0,10,,640,1092,4906,9,"D",0,0,0,3,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","512131",,1642,5365,22301,63,,59,89,1589,33,"D",0,0,0,5,"D",0,0,0,5,"D",0,0,0,8,,640,1092,4906,9,"D",0,0,0,3,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","512132",,103,180,777,3,,0,0,0,0,,0,0,0,0,"D",0,0,0,1,"D",0,0,0,2,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","51219/",,40,339,1533,8,,12,156,718,5,"D",0,0,0,1,"D",0,0,0,2,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","512191","B",0,0,0,7,"D",0,0,0,4,"D",0,0,0,1,"D",0,0,0,2,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","512199","A",0,0,0,1,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","5122//",,80,526,2277,20,,20,102,685,13,"D",0,0,0,5,"D",0,0,0,2,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","51221/","A",0,0,0,6,"D",0,0,0,5,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","512210","A",0,0,0,6,"D",0,0,0,5,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","51222/","A",0,0,0,1,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","512220","A",0,0,0,1,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","51223/","A",0,0,0,1,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","512230","A",0,0,0,1,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","51224/",,38,231,877,7,,6,19,77,4,"D",0,0,0,1,"D",0,0,0,2,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","512240",,38,231,877,7,,6,19,77,4,"D",0,0,0,1,"D",0,0,0,2,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","51229/",,25,246,910,5,"D",0,0,0,2,"D",0,0,0,3,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","512290",,25,246,910,5,"D",0,0,0,2,"D",0,0,0,3,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","515///",,2277,15680,63674,77,,44,208,1019,21,"D",0,0,0,16,,296,1117,4695,22,,298,1494,7778,10,,207,1415,6019,3,,493,5187,19742,3,"D",0,0,0,1,"D",0,0,0,1,,0,0,0,0,"06"
"72","5151//","G",0,0,0,74,"D",0,0,0,19,"D",0,0,0,16,,296,1117,4695,22,,298,1494,7778,10,,207,1415,6019,3,,493,5187,19742,3,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,"06"
"72","51511/","F",0,0,0,60,"D",0,0,0,15,"D",0,0,0,16,"D",0,0,0,21,,206,985,5891,6,"D",0,0,0,1,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","515111","E",0,0,0,15,"D",0,0,0,3,"D",0,0,0,5,"D",0,0,0,3,"D",0,0,0,3,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","515112",,553,2652,10965,45,"D",0,0,0,12,"D",0,0,0,11,,246,1015,4278,18,"D",0,0,0,3,,0,0,0,0,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","51512/",,878,8037,32861,14,,8,96,302,4,,0,0,0,0,"D",0,0,0,1,,92,509,1887,4,"D",0,0,0,2,"D",0,0,0,2,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,"06"
"72","515120",,878,8037,32861,14,,8,96,302,4,,0,0,0,0,"D",0,0,0,1,,92,509,1887,4,"D",0,0,0,2,"D",0,0,0,2,"D",0,0,0,1,,0,0,0,0,,0,0,0,0,"06"
"72","5152//","F",0,0,0,3,"D",0,0,0,2,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"D",0,0,0,1,,0,0,0,0,"06"
"72","51521/","F",0,0,0,3,"D",0,0,0,2,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"D",0,0,0,1,,0,0,0,0,"06"
"72","515210","F",0,0,0,3,"D",0,0,0,2,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"D",0,0,0,1,,0,0,0,0,"06"
"72","516///",,40,189,799,4,"D",0,0,0,1,"D",0,0,0,1,"D",0,0,0,2,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","5161//",,40,189,799,4,"D",0,0,0,1,"D",0,0,0,1,"D",0,0,0,2,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","51611/",,40,189,799,4,"D",0,0,0,1,"D",0,0,0,1,"D",0,0,0,2,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","516110",,40,189,799,4,"D",0,0,0,1,"D",0,0,0,1,"D",0,0,0,2,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,"06"
"72","517///",,10449,93268,408974,200,,236,1774,8291,113,,181,1956,5907,26,,328,2929,11341,24,,601,4672,17459,20,,522,4064,15532,7,"D",0,0,0,3,"D",0,0,0,4,"D",0,0,0,1,"D",0,0,0,2,"06"
"72","5171//",,5899,55726,251134,24,,13,208,922,9,"D",0,0,0,2,"D",0,0,0,5,"D",0,0,0,2,"D",0,0,0,3,"D",0,0,0,1,"D",0,0,0,1,,0,0,0,0,"D",0,0,0,1,"06"
"72","51711/",,5899,55726,251134,24,,13,208,922,9,"D",0,0,0,2,"D",0,0,0,5,"D",0,0,0,2,"D",0,0,0,3,"D",0,0,0,1,"D",0,0,0,1,,0,0,0,0,"D",0,0,0,1,"06"
"72","517110",,5899,55726,251134,24,,13,208,922,9,"D",0,0,0,2,"D",0,0,0,5,"D",0,0,0,2,"D",0,0,0,3,"D",0,0,0,1,"D",0,0,0,1,,0,0,0,0,"D",0,0,0,1,"06"
