"uscode","naics","empflag","emp","qp1","ap","est","f1_4","e1_4","q1_4","a1_4","n1_4","f5_9","e5_9","q5_9","a5_9","n5_9","f10_19","e10_19","q10_19","a10_19","n10_19","f20_49","e20_49","q20_49","a20_49","n20_49","f50_99","e50_99","q50_99","a50_99","n50_99","f100_249","e100_249","q100_249","a100_249","n100_249","f250_499","e250_499","q250_499","a250_499","n250_499","f500_999","e500_999","q500_999","a500_999","n500_999","f1000","e1000","q1000","a1000","n1000"
"98","5141//",,208181,3256619,11671707,13203,,11972,119135,580714,7666,,14590,136454,508103,2204,,21513,237640,901372,1604,,31379,415586,1561864,1043,,24756,378991,1400966,361,,32575,547825,2048816,215,,26678,452764,1656178,78,,12573,190517,714873,19,,32145,777707,2298821,13
"98","51411/",,10158,148146,584239,543,,422,8585,40615,261,"D",0,0,0,82,,1213,14267,58597,86,,2252,27585,109477,73,,1725,23751,93591,25,,2081,32814,115550,12,,993,12879,49574,3,"D",0,0,0,1,,0,0,0,0
"98","514110",,10158,148146,584239,543,,422,8585,40615,261,"D",0,0,0,82,,1213,14267,58597,86,,2252,27585,109477,73,,1725,23751,93591,25,,2081,32814,115550,12,,993,12879,49574,3,"D",0,0,0,1,,0,0,0,0
"98","51412/",,33611,174611,723830,2875,,2860,9830,50695,1542,,3783,13110,54283,574,,5546,25524,104662,415,,7303,40051,162881,247,,4314,24726,100534,64,,3306,20359,85407,21,,3095,19778,77838,8,"D",0,0,0,3,"D",0,0,0,1
"98","514120",,33611,174611,723830,2875,,2860,9830,50695,1542,,3783,13110,54283,574,,5546,25524,104662,415,,7303,40051,162881,247,,4314,24726,100534,64,,3306,20359,85407,21,,3095,19778,77838,8,"D",0,0,0,3,"D",0,0,0,1
"98","51419/",,164412,2933862,10363638,9785,,8690,100720,489404,5863,"D",0,0,0,1548,,14754,197849,738113,1103,,21824,347950,1289506,723,,18717,330514,1206841,272,,27188,494652,1847859,182,,22590,420107,1528766,67,,9864,157804,581897,15,"D",0,0,0,12
"98","514191",,149083,2634366,9255507,8594,,7605,89922,432621,5092,,9074,102327,371895,1373,,13277,179592,662803,994,,19480,307968,1132962,645,,16316,297613,1077578,239,,24010,439410,1623876,162,,21554,406913,1475279,64,"D",0,0,0,14,"D",0,0,0,11
"98","514199",,15329,299496,1108131,1191,,1085,10798,56783,771,"D",0,0,0,175,,1477,18257,75310,109,,2344,39982,156544,78,,2401,32901,129263,33,,3178,55242,223983,20,,1036,13194,53487,3,"D",0,0,0,1,"D",0,0,0,1
"98","5142//",,331156,4592060,16500827,11077,,8978,133004,593758,6137,,9473,126808,469901,1447,,15493,194796,754853,1133,,36649,443486,1663075,1177,,35317,487345,1705410,499,,67702,860499,3238174,433,,50612,724491,2527047,146,,49074,609969,2183900,75,,57858,1011662,3364709,30
"98","51421/",,331156,4592060,16500827,11077,,8978,133004,593758,6137,,9473,126808,469901,1447,,15493,194796,754853,1133,,36649,443486,1663075,1177,,35317,487345,1705410,499,,67702,860499,3238174,433,,50612,724491,2527047,146,,49074,609969,2183900,75,,57858,1011662,3364709,30
"98","514210",,331156,4592060,16500827,11077,,8978,133004,593758,6137,,9473,126808,469901,1447,,15493,194796,754853,1133,,36649,443486,1663075,1177,,35317,487345,1705410,499,,67702,860499,3238174,433,,50612,724491,2527047,146,,49074,609969,2183900,75,,57858,1011662,3364709,30
"98","52----",,6414583,115604511,372656276,450422,,468458,5376688,23317640,258426,,606757,6845073,25713151,91878,,709059,9271757,34252605,53293,,883327,13348849,48780338,29660,,603701,10781049,37180248,8812,,792612,15693900,51875194,5189,,595579,11666152,37064671,1712,,628073,12917650,38326246,907,,1127017,29703393,76146183,545
"98","521///",,23367,326906,1304200,58,"D",0,0,0,4,,0,0,0,0,,0,0,0,0,"D",0,0,0,3,"D",0,0,0,10,,3136,31906,128858,18,,2972,36506,140340,9,,3987,53968,213393,5,"D",0,0,0,9
"98","5211//",,23367,326906,1304200,58,"D",0,0,0,4,,0,0,0,0,,0,0,0,0,"D",0,0,0,3,"D",0,0,0,10,,3136,31906,128858,18,,2972,36506,140340,9,,3987,53968,213393,5,"D",0,0,0,9
"98","52111/",,23367,326906,1304200,58,"D",0,0,0,4,,0,0,0,0,,0,0,0,0,"D",0,0,0,3,"D",0,0,0,10,,3136,31906,128858,18,,2972,36506,140340,9,,3987,53968,213393,5,"D",0,0,0,9
"98","521110",,23367,326906,1304200,58,"D",0,0,0,4,,0,0,0,0,,0,0,0,0,"D",0,0,0,3,"D",0,0,0,10,,3136,31906,128858,18,,2972,36506,140340,9,,3987,53968,213393,5,"D",0,0,0,9
